profile_url,profile_name,media_type,post_url,caption,comments_count,like_count,post_timestamp
https://www.instagram.com/mario.pahl.shabbygarten/,mario.pahl.shabbygarten,IMAGE,https://www.instagram.com/p/DMFCmLFt2a5/,"Guten Morgen, 

frisch starten wir in die neue Woche 🌸🌞.
Wehm gefällt diese Farb - Kombi?

Liebe Grüße Susann und Mario 

#herz #Blumen #rosa #epoxyart #wochenstart #Olivenholz #selbstgemacht",0,29,2025-07-14T06:50:19+0000
https://www.instagram.com/mario.pahl.shabbygarten/,mario.pahl.shabbygarten,IMAGE,https://www.instagram.com/p/DMDnL1ztdY1/,"Moin 😘  dieses schöne Meerherz 🌊 mit LED Beleuchtung durften wir im Auftrag  anfertigen.
Wir haben in diesem Kunstwerk Olivenholz verarbeitet. 
Das Herz ist 35x35 cm groß. 
Ich hoffe es gefällt Euch! 

Liebe Grüße Mario und Susann 
.
#herz #meerliebe #meer #epoxidharz #heart #followme #maritime",3,63,2025-07-13T17:31:33+0000
https://www.instagram.com/mario.pahl.shabbygarten/,mario.pahl.shabbygarten,VIDEO,https://www.instagram.com/reel/DMCoT-CNxf8/,"Moin 😘 
das ist unser Grätenfisch Nummer 2 von 4 mit dem schönen Namen ""Lieselotte""
Wir haben dieses Kunstwerk aus Olivenholz gefertigt. 
Ich hoffe sie gefällt Euch und freue mich auf Eure Kommentare! 

Liebe Grüße Mario und Susann
.
#fish #grätenfisch #ostsee #nordsee #meer #kunstwerk #maritime",3,64,2025-07-13T08:25:08+0000
https://www.instagram.com/mario.pahl.shabbygarten/,mario.pahl.shabbygarten,IMAGE,https://www.instagram.com/p/DMA_BOPN_qu/,"Hallo ihr Lieben 😘
das schöne Servierbrett mit echten Blüten aus unserem Garten durften wir für Sabine anfertigen. 
Vielen lieben Dank für den tollen Auftrag und ganz viel Freude mit deinem neuen Kunstwerk ♥️

Wir hoffen es gefällt Euch. 

Liebe Grüße 🌞 wünschen Euch Mario und Susann

Infos: Größe 40x25 cm aus Birkenbaum 
.
#servierbrett #garten #gartenliebe #epoxidharz #wohnen #resinart #küche",0,62,2025-07-12T17:02:06+0000
https://www.instagram.com/mario.pahl.shabbygarten/,mario.pahl.shabbygarten,VIDEO,https://www.instagram.com/reel/DMAGlcvtKaf/,"Moin 😘
Ein neues Seepferdchen aus Olivenholz ist fertig geworden! 🤗 
Ich habe das Kunstwerk komplett in Handarbeit gefertigt.  Das Strandgut stammt von der Ostsee und Nordsee 🌊
Ich freue mich auf Eure Kommentare! 
Liebe Grüße Mario und Susann 
.
#epoxidharz #ostsee #seepferdchen #seahorse #timmendorf #maritime
#nordsee",14,95,2025-07-12T08:53:40+0000
https://www.instagram.com/mario.pahl.shabbygarten/,mario.pahl.shabbygarten,IMAGE,https://www.instagram.com/p/DL-d6lGNI7Q/,"Jeder schöne Ausflug geht mal zu Ende. Das Meer war einfach toll 🌊❤️. Aber zu Hause ist es am schönsten 👍❤️❤️❤️. Also abmarsch 🙈😎.... wir haben noch schnell unsere Blüten im Garten abgenommen und eingelegt zum trocknen.  Der Regen steht kurz bevor 🌧 .
Habt einen schönen Abend,  liebe Grüße Susann und Mario 

#gartenliebe #meerliebe #bunteblüten #trocknen #sommertraum #regen #garten",1,102,2025-07-11T17:34:21+0000
https://www.instagram.com/mario.pahl.shabbygarten/,mario.pahl.shabbygarten,IMAGE,https://www.instagram.com/p/DL9-GK4t--4/,"So sind wir glücklich 🌞❤️. Die Füße im Sand, um die Nase 👃 eine leichte Meeresbriese 🌊. Für uns das schönste....bis wir wieder zu Hause sind🙈. Dort freuen wir uns über unser Blumen Paradies..... Liebe Grüße aus Travemünde ❤️Susann und Mario",0,74,2025-07-11T12:56:19+0000
https://www.instagram.com/mario.pahl.shabbygarten/,mario.pahl.shabbygarten,VIDEO,https://www.instagram.com/reel/DL9ib-vNjzU/,"Guten Morgen aus????

Ja wo sind wir denn nun schon wieder gelandet? 

Liebe Grüße Susann und Mario 

#kurztrip❤️ #passat #sommer #maritime #meer #meerliebe",1,44,2025-07-11T08:57:41+0000
https://www.instagram.com/mario.pahl.shabbygarten/,mario.pahl.shabbygarten,VIDEO,https://www.instagram.com/reel/DL78QJgN0JJ/,"Moin 😘 
heute ist ein neues Kunstwerk fertig geworden....""Ferdinand"" der Grätenfisch 🐟 
Ich hoffe er gefällt Euch und freue mich auf Eure Kommentare! 

Liebe Grüße Mario und Susann
.
#fish #grätenfisch #ostsee #nordsee #meer #kunstwerk #maritime",1,75,2025-07-10T18:02:01+0000
https://www.instagram.com/mario.pahl.shabbygarten/,mario.pahl.shabbygarten,IMAGE,https://www.instagram.com/p/DL669BMtx6_/,"Guten Morgen 

Wir können auch Beere 🙈😘. Fruchtig siehts aus, kommt aber blumig daher.... noch nicht fertig also weiter geht's 👍

Liebe Grüße Susann und Mario 

#epoxidharzdesign #blumig #esstisch #buntwiedersommer #mitbeleuchtung",2,65,2025-07-10T08:31:07+0000
https://www.instagram.com/mario.pahl.shabbygarten/,mario.pahl.shabbygarten,IMAGE,https://www.instagram.com/p/DL5TdHttHwe/,"Hallo ihr Lieben 😘, ich möchte Euch dieses sommerliche Tablett zeigen. Es ist aus schönen Birkenholz gefertigt. In der Mitte ein grüner Fluss mit großen und kleinen Magariten aus unserem Garten 🤗
Ich hoffe es gefällt Euch ! 
Liebe Grüße Mario und Susann 
.
#epoxidharz #gartenliebe #gartendeko #garten #followｍe #tablett #wohnen",3,56,2025-07-09T17:26:44+0000
https://www.instagram.com/mario.pahl.shabbygarten/,mario.pahl.shabbygarten,IMAGE,https://www.instagram.com/p/DL4SpmttVFU/,"Guten Morgen 🐓

Der darf gerne bei Sonja einziehen denn er hält brav die Klappe 🤭 und wirft sie nicht um 5.00 Uhr aus den Federn. 
Was sagt ihr zum stolzen Hahn 🐓 ist der uns gelungen?

Liebe Grüße Susann und Mario 

#hahn #bunt #epoxyart #frühmorgens #shabbygarten",3,81,2025-07-09T08:00:28+0000
https://www.instagram.com/mario.pahl.shabbygarten/,mario.pahl.shabbygarten,VIDEO,https://www.instagram.com/reel/DL2osPBtc9T/,"Moin ihr Lieben 😘 
das ist ein neues Seepferdchen im leuchtenden orange. Ich finde die Farbe absolut MEGA, aber das ist ja Geschmackssache 😉 Es steht auf einem Sockel aus Olivenholz.
Das Strandgut 🐚stammt von der Ostsee und Nordsee.
Ich hoffe es gefällt Euch und freue mich auf Eure Kommentare! 

Liebe Grüße Mario und Susann
.
#seepferdchen #seahorse #ostsee #nordsee #meer #kunstwerk #timmendorf",11,99,2025-07-08T16:35:38+0000
https://www.instagram.com/mario.pahl.shabbygarten/,mario.pahl.shabbygarten,CAROUSEL_ALBUM,https://www.instagram.com/p/DL1mrlXtjvt/,"Guten Morgen ihr Blumenkinder 🌸

Strahlend wie ein Sommertag, ein neuer schöner Esstisch aus Eichenholz und Blumen. 
Rustikal - edel - schick - frisch .... was fällt euch noch dazu ein? 
Natürlich noch nicht fertig und in der Form 🙈.

Liebe Grüße Susann und Mario 

#esstisch #Blumenkinder #traumhaft #echteblüten #toll",2,81,2025-07-08T06:57:47+0000
https://www.instagram.com/mario.pahl.shabbygarten/,mario.pahl.shabbygarten,CAROUSEL_ALBUM,https://www.instagram.com/p/DL0JOexNdAf/,"Moin 😘 
einen runden Meerestisch aus massiven Lindenholz haben wir nach den Wünschen und Vorstellungen von Andrea angefertigt 🤗
Sie hat uns dafür ihr gesammeltes Strandgut zugesendet, ein Paket mit einer großen Vielfalt darin....es ergaben sich dadurch viele Möglichkeiten für ein tolles Fluss Design 🐚🐟
Das Wasser sollte grün sein und für die Abendstunden eine romantische Beleuchtung im Fluss.
Wir haben alle Wünsche erfüllt und das allerwichtigste, Andrea ist mit dem Ergebnis sehr glücklich ❤️
Und was sagt ihr dazu?

Liebe Grüße Mario und Susann

Die Tischplatte hat einen Durchmesser von 80 cm. 
.
#epoxidharz #wohnzimmer #meerliebe #couchtisch #resinart #ostseeliebe #nordsee #diy #epoxidharz #resinart",3,85,2025-07-07T17:21:09+0000
https://www.instagram.com/mario.pahl.shabbygarten/,mario.pahl.shabbygarten,IMAGE,https://www.instagram.com/p/DLzPdMItxzH/,"Guten  Morgen, 

Eine Herdabdeckung wird zum Schmuckstück jeder Küche.  LED Beleuchtung für den Abend, bringt eine gemütliche Stimmung. Hier wird jeder Mädels und Herren Abend bei einem Glas Wein 🍷  zum Highlight des Tages.

Liebe Grüße senden euch Susann und Mario 

#Herdabdeckung #Blumenliebhaber #farbig #Stimmung #wow",4,58,2025-07-07T08:56:21+0000
https://www.instagram.com/mario.pahl.shabbygarten/,mario.pahl.shabbygarten,VIDEO,https://www.instagram.com/reel/DLxf7ZIt_Gv/,"Hallo 😘 wir zeigen Euch nochmal wie wir unsere Blüten ernten und in Silikagel einlegen, damit Sie Farbtafeln getrocknet werden. 
Wenn ihr Fragen dazu habt, damit rein damit in die Kommentare 🤗
Liebe Grüße Susann und Mario 
.
#epoxidharz #gartenliebe #shabbygarten #garten #blütentrocknen #blütenmeer #resinart",1,74,2025-07-06T16:46:01+0000
