profile_url,profile_name,media_type,post_url,caption,comments_count,like_count,post_timestamp
https://www.instagram.com/press.julian,press.julian,Image,https://www.instagram.com/p/DIEMhseIzhg/,"Segeltörn am Elbufer - D 2025
40x20 cm - Oil on canvas
#Hamburg#Elbufer#Wittenbergen#Segelboot#Altes Land#Strand#Schlick#Elbe",2,122,2025-04-05T12:52:16.000Z
https://www.instagram.com/press.julian,press.julian,Image,https://www.instagram.com/p/DJ4DUQJonlx/,"Blick von der Himmelsleiter/ Hamburg - D 2025
60x40 cm - Oil on canvas
#Hamburg#Hafen#Container#Pthmarschen#Övelgönne#Himmelsleiter#Elbe#Segelschiffe#Abendsonne#Strand",0,119,2025-05-20T12:43:41.000Z
https://www.instagram.com/press.julian,press.julian,Image,https://www.instagram.com/p/DLIChHhIcov/,"Gaia - D 2025
30x30 cm - Oil on canvas
#Gaia#Urmutter#Erde#TerraMater#Terrakotta",0,48,2025-06-20T14:15:57.000Z
https://www.instagram.com/press.julian,press.julian,Image,https://www.instagram.com/p/DHdY-C5oE90/,"Chats noirs - D 2025
50x100 cm - Oil on canvas 
#Chats#Tiere#Schwarz#Rot#Blau#Grün#Gold#Expressionismus",3,120,2025-03-21T11:10:37.000Z
https://www.instagram.com/press.julian,press.julian,Image,https://www.instagram.com/p/DHGotj9o1dx/,"Obstfeld in Fidazhofen - D 2025
40x20 cm - Oil on canvas
#Obstfeld#Wiese#Obstbäume#Fidazhofen#Ravensburg#Oberschwaben#Baden-Württemberg#Wanderweg",2,128,2025-03-12T15:05:39.000Z
https://www.instagram.com/press.julian,press.julian,Image,https://www.instagram.com/p/DLhozkwIX4V/,"Süllbergterrasse/ Hamburg - D 2025
50x40 cm - Oil on canvas
#Hamburg#Blankenese#Elbe#Elbufer#Suellberg#Restaurant#Hotel#Ausflugslokal##Biergarten#Elbhang#Treppenviertel#Panoramablick#",8,68,2025-06-30T12:51:32.000Z
https://www.instagram.com/press.julian,press.julian,Sidecar,https://www.instagram.com/p/DKR0Ymuo5DI/,"Pop Up Art Galerie - Artemis & Apollofalter/ Julian Press
120x120 cm - Oil on canvas
#PopUpArtGalerie#ArtemisundApollofalter#Exhibtion#Waitzstrasse#Hamburg#Othmarschen#Vernissage#WeristhierdasTier#Animals",3,54,2025-05-30T12:53:28.000Z
https://www.instagram.com/press.julian,press.julian,Image,https://www.instagram.com/p/DMFaN-ooSDJ/,"Museumshafen Oevelgönne/ Hamburg - D 2025
20x30 cm - Oil on canvas
#Hamburg#Oevelgönne#Museumshafen#Elbe#Othmarschen#Segelschiff#Wasserspiegelung#Dalben#Abendsonne",4,7,2025-07-14T10:16:44.000Z
https://www.instagram.com/press.julian,press.julian,Image,https://www.instagram.com/p/DGIjd2kIGeQ/,"Ellerntorsbrücke/ Hamburg - D 2025
30x30 cm - Oil on canvas
#Hamburg#Ellerntorsbrücke#Bleichenfleet#Stadthausbrücke#Herrengraben#Düsternweg#AlterSteinweg#Denkmalschutz#Historisch",0,127,2025-02-16T12:26:54.000Z
https://www.instagram.com/press.julian,press.julian,Image,https://www.instagram.com/p/DL1zEBboyK-/,#ArtWorld#Vienna#PaksGallery#Exhibition#July#August#2025,0,20,2025-07-08T08:45:58.000Z
https://www.instagram.com/press.julian,international__vgartcurator,Sidecar,https://www.instagram.com/p/DFGDQdII6el/,"""Éthéré” Come visit us to enjoy this great artwork by the artist Julian Press @press.julian 👏

You can contact us through various channels, including phone, email, and social media.

☎️0034.910.805.876
📩international@vangoghartgallery.es.
🔗Artsper
📍C/ de las Hileras 6,28013, Madrid, Spain.",10,207,2025-01-21T16:35:34.000Z
https://www.instagram.com/press.julian,press.julian,Image,https://www.instagram.com/p/DFVAwKCIphV/,"Achterwasser Wiese bei Koserow/ Usedom - D 2025
50x30 cm - Oil on canvas
#Usedom#Achterwasser#Wiese#Koserow#Damerow#Baum#Totholz#Ostsee#Peenestrom#MecklenburgVorpommern#InselSeebäder",0,118,2025-01-27T12:02:17.000Z
